Timestamp_UTC,PM25,Temperature_F,HourID
2022-07-04 00:00:00,6.861428571428571,82.53571428571429,0
2022-07-04 01:00:00,6.6032142857142855,81.17857142857143,1
2022-07-04 02:00:00,21.712500000000002,80.53571428571429,2
2022-07-04 03:00:00,34.098214285714285,79.89285714285714,3
2022-07-04 04:00:00,30.220357142857143,79.10714285714286,4
2022-07-04 05:00:00,31.861071428571428,78.75,5
2022-07-04 06:00:00,27.861428571428572,79.03571428571429,6
2022-07-04 07:00:00,25.905,78.67857142857143,7
2022-07-04 08:00:00,17.143214285714286,77.25,8
2022-07-04 09:00:00,16.097037037037037,76.25925925925925,9
2022-07-04 10:00:00,15.884285714285713,75.82142857142857,10
2022-07-04 11:00:00,17.555357142857144,76.53571428571429,11
2022-07-04 12:00:00,20.777142857142856,78.82142857142857,12
2022-07-04 13:00:00,19.465,82.25,13
2022-07-04 14:00:00,21.042142857142856,83.67857142857143,14
2022-07-04 15:00:00,20.051785714285717,87.67857142857143,15
2022-07-04 16:00:00,16.7525,88.46428571428571,16
2022-07-04 17:00:00,18.361785714285713,86.28571428571429,17
2022-07-04 18:00:00,16.1525,89.96428571428571,18
2022-07-04 19:00:00,16.711785714285714,88.14285714285714,19
2022-07-04 20:00:00,25.1375,79.67857142857143,20
2022-07-04 21:00:00,31.482142857142858,77.53571428571429,21
2022-07-04 22:00:00,29.885357142857142,79.57142857142857,22
2022-07-04 23:00:00,28.414285714285715,78.10714285714286,23
